Home,Price,SqFt,Bedrooms,Bathrooms
1,212051.9,2114.1,1,4
2,117791.45,8425.33,2,5
3,195355.21,8946.69,1,2
4,99132.51,9431.37,1,3
5,115078.63,2583.69,2,3
6,223654.74,1910.95,1,3
7,136242.51,2199.59,1,2
8,82772.76,6418.69,3,3
9,101661.19,5960.45,1,5
10,202023.2,4703.89,4,5
11,124330.36,498.18,4,4
12,170078.59,2389.31,3,2
13,90584.34,2903.59,1,4
14,239574.92,7459.06,1,4
15,169647.1,2809.08,2,4
16,65640.47,8708.84,1,2
17,245148.37,1913.61,3,5
18,116085.01,4224.33,1,4
19,68034.92,2669.09,4,3
20,112634.4,9692.42,4,4
21,97346.38,2683.14,4,2
22,144534.16,6990.41,3,5
23,117151.03,1736.7,3,1
24,172302.42,1621.91,2,3
25,137226.68,1249,5,2
26,105302.53,409.34,4,4
27,166989.4,9853.8,3,2
28,156938.36,3068.7,3,3
29,184663.39,6247.55,2,2
30,187814.81,6978.38,4,2
31,163340.55,7568.54,1,4
32,219307.13,7612.49,4,4
33,128690.35,5782.48,1,3
34,184120.54,7413,3,2
35,208547.15,2692.2,4,5
36,92325.98,4194.77,2,3
37,184920.52,7780.27,5,3
38,90619.93,8232.08,4,5
39,105222.71,2111.87,1,5
40,202715.06,8022.05,3,5
41,68387.7,9279.43,5,4
42,165846.09,7960.74,3,4
43,245656.06,1554.74,5,4
44,98946.57,1140.12,5,5
45,67692.03,837.04,3,4
46,182115.52,9914.74,2,4
47,129499.51,4071.22,3,5
48,152745.39,9668.59,2,4
49,160166.92,587.15,3,2
50,95210.23,296.18,3,2
51,159613.66,3476.56,1,5
52,219065.15,9358.65,2,1
53,192775.56,1782.98,5,3
54,234804.35,6678.75,2,2
55,224756.91,4614.9,5,5
56,225640.12,737.87,2,5
57,212161.46,7505.87,4,1
58,195569.54,404.57,3,3
59,188498.59,4372,5,4
60,234130.1,2091.96,5,2
61,75664.89,2633.24,3,2
62,197787.79,9161.96,3,2
63,71455.06,9809.71,2,5
64,88344.74,4688.6,3,5
65,230470.52,5913.35,3,5
66,85281.74,5015.56,1,2
67,144562.77,3741.06,3,4
68,232694.4,1584.17,2,1
69,113008.12,4384.72,2,1
70,196345.93,6649.83,4,5
71,185218.63,9540.71,2,3
72,76674.38,1151.02,5,4
73,214137.58,5823.32,4,4
74,125739.19,6786.83,5,3
75,192664.69,6384.27,1,4
76,196217.01,2660.28,3,4
77,216072.1,9275.61,2,5
78,105616.79,352.43,5,1
79,249088.98,8503.61,1,4
80,159244.55,9335.17,1,1
81,206893.01,2897.07,1,1
82,164314.34,2372.07,4,1
83,211287.7,558.95,4,3
84,159357.64,8173.88,4,5
85,167201.66,3329.04,1,3
86,137427.31,2685.22,4,5
87,167188.05,9750.58,4,3
88,237004.7,9705.7,2,5
89,66219.09,2622.9,1,2
90,61330.84,1707.75,3,4
91,239877.4,9057.22,5,4
92,115216.07,2942.12,2,4
93,175244.82,4388.68,1,1
94,204269.07,7323.99,2,3
95,81640.06,1331.62,5,4
96,67802.74,113.1,2,1
97,82295.54,526.75,3,5
98,64169.16,9896.08,2,2
99,190748.53,9353.96,3,3
100,230036.05,5684.92,1,4
101,147780.86,9263.59,5,2
102,75980.35,8362.08,4,3
103,175189.19,3085.57,5,5
104,135273.61,5979.85,2,4
105,107825.93,3334.38,1,1
106,78692.55,1298.48,2,2
107,60719.6,4167.85,2,2
108,189292.38,2098.07,2,2
109,66056.26,8522.34,5,1
110,236651.29,4403.5,4,4
111,142307.26,1348.86,5,4
112,97696.22,7478.65,4,5
113,83767.24,2551.96,5,3
114,150757.96,2493.32,2,3
115,221199.16,9384.87,1,1
116,176196.4,3169.41,4,1
117,164106.12,3443.65,3,4
118,75050.36,5990.03,1,1
119,118787.17,9492.59,3,4
120,244760.01,2089.76,3,3
121,157490.85,2663.47,3,5
122,145473.21,3130.85,4,4
123,202251.76,9545.07,3,5
124,111079.76,1762.97,5,5
125,159721.41,728.91,4,4
126,169038.99,6715.51,1,3
127,230781.88,848.4,2,4
128,71122.19,5236.44,5,3
